TREE0_LABEL	TREE0_HEAD	TREE0_HEADPOS	TREE1_LABEL	TREE1_HEAD	TREE1_HEADPOS	TREE2_LABEL	TREE2_HEAD	TREE2_HEADPOS	TREE3_LABEL	TREE3_HEAD	ANTECEDENT_CARRIED	WORD_NEXT0_LEX	WORD_NEXT0_POS	WORD_NEXT1_LEX	WORD_NEXT1_POS	ACTION	ACTION_RESULT_LABEL	ACTION_PREV	FREQ	ACTIVATION
VBG	roll	 	VBD	be	 	NP	*t*	-NONE-	WHNP	that	NO	along	RP	at	IN	shift	''	shift	1	-9.294198074178478
RP	along	 	VBG	roll	 	VBD	be	 	NP	*t*	NO	at	IN	a	DT	reduce_unary	PRT	shift	1	-9.294198074178478
PRT	along	RP	VBG	roll	 	VBD	be	 	NP	*t*	NO	at	IN	a	DT	shift	''	reduce_unary	1	-9.294198074178478
IN	at	 	PRT	along	RP	VBG	roll	 	VBD	were	NO	a	DT	terrible	JJ	shift	''	shift	1	-9.294198074178478
DT	a	 	IN	at	 	PRT	along	RP	VBG	rolling	NO	terrible	JJ	rate	NN	shift	''	shift	1	-9.294198074178478
JJ	terrible	 	DT	a	 	IN	at	 	PRT	along	NO	rate	NN	.	.	shift	''	shift	1	-9.294198074178478
NN	rate	 	JJ	terrible	 	DT	a	 	IN	at	NO	.	.	noword	NOPOS	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	rate	NN	JJ	terrible	 	DT	a	 	IN	at	NO	.	.	noword	NOPOS	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	rate	NN	DT	a	 	IN	at	 	PRT	along	NO	.	.	noword	NOPOS	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	rate	NN	IN	at	 	PRT	along	RP	VBG	rolling	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	at	IN	IN	at	 	PRT	along	RP	VBG	rolling	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	at	IN	PRT	along	RP	VBG	roll	 	VBD	were	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	roll	VBG	PRT	along	RP	VBG	roll	 	VBD	were	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	roll	VBG	VBG	roll	 	VBD	be	 	NP	*t*	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	roll	VBG	VBD	be	 	NP	*t*	-NONE-	WHNP	that	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	roll	VBG	VBD	be	 	NP	*t*	-NONE-	WHNP	that	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	roll	VBG	NP	*t*	-NONE-	WHNP	that	WDT	NP	carriages	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	roll	VBG	NP	*t*	-NONE-	WHNP	that	WDT	NP	carriages	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	roll	VBG	WHNP	that	WDT	NP	carriage	NNS	VB	avoid	NO	.	.	noword	NOPOS	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	that	WDT	WHNP	that	WDT	NP	carriage	NNS	VB	avoid	NO	.	.	noword	NOPOS	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	that	WDT	NP	carriage	NNS	VB	avoid	 	TO	to	NO	.	.	noword	NOPOS	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	carriage	NNS	NP	carriage	NNS	VB	avoid	 	TO	to	NO	.	.	noword	NOPOS	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	carriage	NNS	VB	avoid	 	TO	to	 	NP	*	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	avoid	VB	VB	avoid	 	TO	to	 	NP	*	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	avoid	VB	TO	to	 	NP	*	-NONE-	NN	street	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	avoid	VB	TO	to	 	NP	*	-NONE-	NN	street	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	avoid	VB	NP	*	-NONE-	NN	street	 	DT	the	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	avoid	VB	NP	*	-NONE-	NN	street	 	DT	the	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	avoid	VB	NN	street	 	DT	the	 	IN	across	NO	.	.	noword	NOPOS	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	street	NN	NN	street	 	DT	the	 	IN	across	NO	.	.	noword	NOPOS	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	street	NN	DT	the	 	IN	across	 	VBG	running	NO	.	.	noword	NOPOS	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	street	NN	IN	across	 	VBG	run	 	NP	*	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	across	IN	IN	across	 	VBG	run	 	NP	*	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	across	IN	VBG	run	 	NP	*	-NONE-	IN	while	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	run	VBG	VBG	run	 	NP	*	-NONE-	IN	while	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	run	VBG	NP	*	-NONE-	IN	while	 	NP	them	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	run	VBG	NP	*	-NONE-	IN	while	 	NP	them	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	run	VBG	IN	while	 	NP	them	PRP	VBN	lost	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	while	IN	IN	while	 	NP	them	PRP	VBN	lost	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	while	IN	NP	them	PRP	VBN	lose	 	VBD	had	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	lose	VBN	NP	them	PRP	VBN	lose	 	VBD	had	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	lose	VBN	VBN	lose	 	VBD	have	 	NP	creature	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	lose	VBN	VBD	have	 	NP	creature	NN	IN	that	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	lose	VBN	VBD	have	 	NP	creature	NN	IN	that	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	lose	VBN	NP	creature	NN	IN	that	 	ADJP	large	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	lose	VBN	NP	creature	NN	IN	that	 	ADJP	large	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	lose	VBN	IN	that	 	ADJP	large	JJ	VBD	were	NO	.	.	noword	NOPOS	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	that	IN	IN	that	 	ADJP	large	JJ	VBD	were	NO	.	.	noword	NOPOS	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	that	IN	ADJP	large	JJ	VBD	be	 	NP	slippers	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	be	VBD	ADJP	large	JJ	VBD	be	 	NP	slippers	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	be	VBD	VBD	be	 	NP	slipper	NNS	NOPOS	noword	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	be	VBD	NP	slipper	NNS	NOPOS	noword	 		 	NO	.	.	noword	NOPOS	shift	''	reduce_binary	1	-9.294198074178478
.	.	 	VP	be	VBD	NP	slipper	NNS	NOPOS	noword	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	shift	1	-9.294198074178478
S_BAR	be	VBD	VP	be	VBD	NP	slipper	NNS	NOPOS	noword	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	be	VBD	NP	slipper	NNS	NOPOS	noword	 		 	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_binary	1	-9.294198074178478
CD	one	 	NOPOS	noword	 		 	 		 	NO	of	IN	the	DT	reduce_unary	NP	shift	2	-8.947624483898506
IN	of	 	NP	 	 	NOPOS	noword	 		 	NO	the	DT	slippers	NNS	shift	''	shift	1	-9.294198074178478
DT	the	 	IN	of	 	NP	 	 	NOPOS	noword	NO	slippers	NNS	she	PRP	shift	''	shift	1	-9.294198074178478
NNS	slipper	 	DT	the	 	IN	of	 	NP	 	NO	she	PRP	could	MD	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	slipper	NNS	DT	the	 	IN	of	 	NP	 	NO	she	PRP	could	MD	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	slipper	NNS	IN	of	 	NP	 	 	NOPOS	noword	NO	she	PRP	could	MD	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	of	IN	IN	of	 	NP	 	 	NOPOS	noword	NO	she	PRP	could	MD	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	of	IN	NP	 	 	NOPOS	noword	 		 	NO	she	PRP	could	MD	reduce_unary	NP-TPC_BAR	reduce_binary	1	-9.294198074178478
NP-TPC_BAR	 	 	NP	 	 	NOPOS	noword	 		 	YES	she	PRP	could	MD	reduce_binary	NP-TPC	reduce_unary	1	-9.294198074178478
NP-TPC	 	 	NOPOS	noword	 		 	 		 	YES	she	PRP	could	MD	shift	''	reduce_binary	1	-9.294198074178478
PRP	she	 	NP-TPC	 	 	NOPOS	noword	 		 	YES	could	MD	not	RB	reduce_unary	NP	shift	1	-9.294198074178478
NP	she	PRP	NP-TPC	 	 	NOPOS	noword	 		 	YES	could	MD	not	RB	shift	''	reduce_unary	1	-9.294198074178478
MD	could	 	NP	she	PRP	NP-TPC	 	 	NOPOS	noword	YES	not	RB	find	VB	shift	''	shift	1	-9.294198074178478
RB	not	 	MD	could	 	NP	she	PRP	NP-TPC	 	YES	find	VB	,	,	shift	''	shift	1	-9.294198074178478
VB	find	 	RB	not	 	MD	could	 	NP	she	YES	,	,	and	CC	postulate_gap	*t*	shift	1	-9.294198074178478
-NONE-	*t*	 	VB	find	 	RB	not	 	MD	could	NO	,	,	and	CC	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*t*	-NONE-	VB	find	 	RB	not	 	MD	could	NO	,	,	and	CC	reduce_unary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	find	VB	VB	find	 	RB	not	 	MD	could	NO	,	,	and	CC	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	find	VB	RB	not	 	MD	could	 	NP	she	NO	,	,	and	CC	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	find	VB	RB	not	 	MD	could	 	NP	she	NO	,	,	and	CC	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	find	VB	MD	could	 	NP	she	PRP	NP-TPC	 	NO	,	,	and	CC	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	find	VB	NP	she	PRP	NP-TPC	 	 	NOPOS	noword	NO	,	,	and	CC	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	find	VB	NP	she	PRP	NP-TPC	 	 	NOPOS	noword	NO	,	,	and	CC	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	find	VB	NP-TPC	 	 	NOPOS	noword	 		 	NO	,	,	and	CC	reduce_binary	S	reduce_binary	1	-9.294198074178478
S	find	VB	NOPOS	noword	 		 	 		 	NO	,	,	and	CC	shift	''	reduce_binary	1	-9.294198074178478
,	,	 	S	find	VB	NOPOS	noword	 		 	NO	and	CC	a	DT	shift	''	shift	1	-9.294198074178478
CC	and	 	,	,	 	S	find	VB	NOPOS	noword	NO	a	DT	boy	NN	shift	''	shift	1	-9.294198074178478
DT	a	 	CC	and	 	,	,	 	S	find	NO	boy	NN	seized	VBD	shift	''	shift	1	-9.294198074178478
NN	boy	 	DT	a	 	CC	and	 	,	,	NO	seized	VBD	upon	RP	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	boy	NN	DT	a	 	CC	and	 	,	,	NO	seized	VBD	upon	RP	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	boy	NN	CC	and	 	,	,	 	S	find	NO	seized	VBD	upon	RP	shift	''	reduce_binary	1	-9.294198074178478
VBD	seize	 	NP	boy	NN	CC	and	 	,	,	NO	upon	RP	the	DT	shift	''	shift	1	-9.294198074178478
RP	upon	 	VBD	seize	 	NP	boy	NN	CC	and	NO	the	DT	other	JJ	reduce_unary	PRT	shift	1	-9.294198074178478
PRT	upon	RP	VBD	seize	 	NP	boy	NN	CC	and	NO	the	DT	other	JJ	reduce_unary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	seize	VBD	VBD	seize	 	NP	boy	NN	CC	and	NO	the	DT	other	JJ	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	seize	VBD	NP	boy	NN	CC	and	 	,	,	NO	the	DT	other	JJ	shift	''	reduce_binary	1	-9.294198074178478
DT	the	 	VP	seize	VBD	NP	boy	NN	CC	and	NO	other	JJ	,	,	shift	''	shift	1	-9.294198074178478
JJ	other	 	DT	the	 	VP	seize	VBD	NP	boy	NO	,	,	saying	VBG	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	 	 	DT	the	 	VP	seize	VBD	NP	boy	NO	,	,	saying	VBG	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	 	 	VP	seize	VBD	NP	boy	NN	CC	and	NO	,	,	saying	VBG	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	seize	VBD	VP	seize	VBD	NP	boy	NN	CC	and	NO	,	,	saying	VBG	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	seize	VBD	NP	boy	NN	CC	and	 	,	,	NO	,	,	saying	VBG	shift	''	reduce_binary	1	-9.294198074178478
,	,	 	VP	seize	VBD	NP	boy	NN	CC	and	NO	saying	VBG	that	IN	postulate_gap	*	shift	1	-9.294198074178478
-NONE-	*	 	,	,	 	VP	seize	VBD	NP	boy	NO	saying	VBG	that	IN	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*	-NONE-	,	,	 	VP	seize	VBD	NP	boy	NO	saying	VBG	that	IN	shift	''	reduce_unary	1	-9.294198074178478
VBG	say	 	NP	*	-NONE-	,	,	 	VP	seized	NO	that	IN	he	PRP	shift	''	shift	1	-9.294198074178478
IN	that	 	VBG	say	 	NP	*	-NONE-	,	,	NO	he	PRP	could	MD	shift	''	shift	1	-9.294198074178478
PRP	he	 	IN	that	 	VBG	say	 	NP	*	NO	could	MD	use	VB	reduce_unary	NP	shift	1	-9.294198074178478
NP	he	PRP	IN	that	 	VBG	say	 	NP	*	NO	could	MD	use	VB	shift	''	reduce_unary	1	-9.294198074178478
MD	could	 	NP	he	PRP	IN	that	 	VBG	saying	NO	use	VB	it	PRP	shift	''	shift	1	-9.294198074178478
VB	use	 	MD	could	 	NP	he	PRP	IN	that	NO	it	PRP	as	IN	shift	''	shift	1	-9.294198074178478
PRP	it	 	VB	use	 	MD	could	 	NP	he	NO	as	IN	a	DT	reduce_unary	NP	shift	1	-9.294198074178478
NP	it	PRP	VB	use	 	MD	could	 	NP	he	NO	as	IN	a	DT	shift	''	reduce_unary	1	-9.294198074178478
IN	as	 	NP	it	PRP	VB	use	 	MD	could	NO	a	DT	home	NN	shift	''	shift	1	-9.294198074178478
DT	a	 	IN	as	 	NP	it	PRP	VB	use	NO	home	NN	for	IN	shift	''	shift	1	-9.294198074178478
NN	home	 	DT	a	 	IN	as	 	NP	it	NO	for	IN	his	PRPtranslated_dollar	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	home	NN	DT	a	 	IN	as	 	NP	it	NO	for	IN	his	PRPtranslated_dollar	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	home	NN	IN	as	 	NP	it	PRP	VB	use	NO	for	IN	his	PRPtranslated_dollar	shift	''	reduce_binary	1	-9.294198074178478
IN	for	 	NP	home	NN	IN	as	 	NP	it	NO	his	PRPtranslated_dollar	little	JJ	shift	''	shift	1	-9.294198074178478
PRPtranslated_dollar	his	 	IN	for	 	NP	home	NN	IN	as	NO	little	JJ	pet	JJ	shift	''	shift	1	-9.294198074178478
JJ	little	 	PRPtranslated_dollar	his	 	IN	for	 	NP	home	NO	pet	JJ	mouse	NN	shift	''	shift	1	-9.294198074178478
JJ	pet	 	JJ	little	 	PRPtranslated_dollar	his	 	IN	for	NO	mouse	NN	.	.	shift	''	shift	1	-9.294198074178478
NN	mouse	 	JJ	pet	 	JJ	little	 	PRPtranslated_dollar	his	NO	.	.	noword	NOPOS	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	mouse	NN	JJ	pet	 	JJ	little	 	PRPtranslated_dollar	his	NO	.	.	noword	NOPOS	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	mouse	NN	JJ	little	 	PRPtranslated_dollar	his	 	IN	for	NO	.	.	noword	NOPOS	reduce_binary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	mouse	NN	PRPtranslated_dollar	his	 	IN	for	 	NP	home	NO	.	.	noword	NOPOS	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	mouse	NN	IN	for	 	NP	home	NN	IN	as	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	for	IN	IN	for	 	NP	home	NN	IN	as	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	for	IN	NP	home	NN	IN	as	 	NP	it	NO	.	.	noword	NOPOS	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	home	NN	NP	home	NN	IN	as	 	NP	it	NO	.	.	noword	NOPOS	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	home	NN	IN	as	 	NP	it	PRP	VB	use	NO	.	.	noword	NOPOS	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	as	IN	IN	as	 	NP	it	PRP	VB	use	NO	.	.	noword	NOPOS	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	as	IN	NP	it	PRP	VB	use	 	MD	could	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	use	VB	NP	it	PRP	VB	use	 	MD	could	NO	.	.	noword	NOPOS	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	use	VB	VB	use	 	MD	could	 	NP	he	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	use	VB	MD	could	 	NP	he	PRP	IN	that	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	use	VB	MD	could	 	NP	he	PRP	IN	that	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	use	VB	NP	he	PRP	IN	that	 	VBG	saying	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	use	VB	NP	he	PRP	IN	that	 	VBG	saying	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	use	VB	IN	that	 	VBG	say	 	NP	*	NO	.	.	noword	NOPOS	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	that	IN	IN	that	 	VBG	say	 	NP	*	NO	.	.	noword	NOPOS	reduce_binary	SBAR	reduce_unary	1	-9.294198074178478
SBAR	that	IN	VBG	say	 	NP	*	-NONE-	,	,	NO	.	.	noword	NOPOS	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	say	VBG	VBG	say	 	NP	*	-NONE-	,	,	NO	.	.	noword	NOPOS	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	say	VBG	NP	*	-NONE-	,	,	 	VP	seized	NO	.	.	noword	NOPOS	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	say	VBG	NP	*	-NONE-	,	,	 	VP	seized	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	say	VBG	,	,	 	VP	seize	VBD	NP	boy	NO	.	.	noword	NOPOS	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	boy	NN	,	,	 	VP	seize	VBD	NP	boy	NO	.	.	noword	NOPOS	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	boy	NN	VP	seize	VBD	NP	boy	NN	CC	and	NO	.	.	noword	NOPOS	reduce_binary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	boy	NN	NP	boy	NN	CC	and	 	,	,	NO	.	.	noword	NOPOS	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	boy	NN	CC	and	 	,	,	 	S	find	NO	.	.	noword	NOPOS	reduce_unary	S	reduce_binary	1	-9.294198074178478
S	 	 	CC	and	 	,	,	 	S	find	NO	.	.	noword	NOPOS	shift	''	reduce_unary	1	-9.294198074178478
S_BAR	find	VB	S	 	 	CC	and	 	,	,	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_unary	1	-9.294198074178478
S_BAR	find	VB	CC	and	 	,	,	 	S	find	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	find	VB	,	,	 	S	find	VB	NOPOS	noword	NO	.	.	noword	NOPOS	reduce_binary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	find	VB	S	find	VB	NOPOS	noword	 		 	NO	.	.	noword	NOPOS	reduce_binary	S	reduce_binary	1	-9.294198074178478
NOPOS	noword	 		 	 		 	 		 	NO	so	IN	with	IN	shift	''		1	-9.294198074178478
IN	so	 	NOPOS	noword	 		 	 		 	NO	with	IN	her	PRPtranslated_dollar	shift	''	shift	1	-9.294198074178478
IN	with	 	IN	so	 	NOPOS	noword	 		 	NO	her	PRPtranslated_dollar	naked	JJ	shift	''	shift	1	-9.294198074178478
PRPtranslated_dollar	her	 	IN	with	 	IN	so	 	NOPOS	noword	NO	naked	JJ	feet	NNS	shift	''	shift	1	-9.294198074178478
JJ	naked	 	PRPtranslated_dollar	her	 	IN	with	 	IN	so	NO	feet	NNS	,	,	shift	''	shift	1	-9.294198074178478
NNS	foot	 	JJ	naked	 	PRPtranslated_dollar	her	 	IN	with	NO	,	,	which	WDT	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	foot	NNS	JJ	naked	 	PRPtranslated_dollar	her	 	IN	with	NO	,	,	which	WDT	reduce_binary	NP_BAR	reduce_unary	1	-9.294198074178478
NP_BAR	foot	NNS	PRPtranslated_dollar	her	 	IN	with	 	IN	so	NO	,	,	which	WDT	reduce_binary	NP	reduce_binary	1	-9.294198074178478
NP	foot	NNS	IN	with	 	IN	so	 	NOPOS	noword	NO	,	,	which	WDT	shift	''	reduce_binary	1	-9.294198074178478
,	,	 	NP	foot	NNS	IN	with	 	IN	so	NO	which	WDT	were	VBD	shift	''	shift	1	-9.294198074178478
WDT	which	 	,	,	 	NP	foot	NNS	IN	with	NO	were	VBD	quite	RB	reduce_unary	WHNP	shift	1	-9.294198074178478
WHNP	which	WDT	,	,	 	NP	foot	NNS	IN	with	YES	were	VBD	quite	RB	postulate_gap	*t*	reduce_unary	1	-9.294198074178478
-NONE-	*t*	 	WHNP	which	WDT	,	,	 	NP	feet	NO	were	VBD	quite	RB	reduce_unary	NP	postulate_gap	1	-9.294198074178478
NP	*t*	-NONE-	WHNP	which	WDT	,	,	 	NP	feet	NO	were	VBD	quite	RB	shift	''	reduce_unary	1	-9.294198074178478
VBD	be	 	NP	*t*	-NONE-	WHNP	which	WDT	,	,	NO	quite	RB	red	JJ	shift	''	shift	1	-9.294198074178478
RB	quite	 	VBD	be	 	NP	*t*	-NONE-	WHNP	which	NO	red	JJ	and	CC	shift	''	shift	1	-9.294198074178478
JJ	red	 	RB	quite	 	VBD	be	 	NP	*t*	NO	and	CC	blue	JJ	shift	''	shift	1	-9.294198074178478
CC	and	 	JJ	red	 	RB	quite	 	VBD	were	NO	blue	JJ	with	IN	shift	''	shift	1	-9.294198074178478
JJ	blue	 	CC	and	 	JJ	red	 	RB	quite	NO	with	IN	the	DT	reduce_unary	ADJP_BAR	shift	1	-9.294198074178478
ADJP_BAR	blue	JJ	CC	and	 	JJ	red	 	RB	quite	NO	with	IN	the	DT	reduce_binary	ADJP_BAR	reduce_unary	1	-9.294198074178478
ADJP_BAR	blue	JJ	JJ	red	 	RB	quite	 	VBD	were	NO	with	IN	the	DT	reduce_binary	ADJP_BAR	reduce_binary	1	-9.294198074178478
ADJP_BAR	blue	JJ	RB	quite	 	VBD	be	 	NP	*t*	NO	with	IN	the	DT	reduce_binary	ADJP	reduce_binary	1	-9.294198074178478
ADJP	blue	JJ	VBD	be	 	NP	*t*	-NONE-	WHNP	which	NO	with	IN	the	DT	shift	''	reduce_binary	1	-9.294198074178478
IN	with	 	ADJP	blue	JJ	VBD	be	 	NP	*t*	NO	the	DT	cold	NN	shift	''	shift	1	-9.294198074178478
DT	the	 	IN	with	 	ADJP	blue	JJ	VBD	were	NO	cold	NN	,	,	shift	''	shift	1	-9.294198074178478
NN	cold	 	DT	the	 	IN	with	 	ADJP	blue	NO	,	,	the	DT	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	cold	NN	DT	the	 	IN	with	 	ADJP	blue	NO	,	,	the	DT	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	cold	NN	IN	with	 	ADJP	blue	JJ	VBD	were	NO	,	,	the	DT	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	with	IN	IN	with	 	ADJP	blue	JJ	VBD	were	NO	,	,	the	DT	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	with	IN	ADJP	blue	JJ	VBD	be	 	NP	*t*	NO	,	,	the	DT	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	be	VBD	ADJP	blue	JJ	VBD	be	 	NP	*t*	NO	,	,	the	DT	reduce_binary	VP_BAR	reduce_unary	1	-9.294198074178478
VP_BAR	be	VBD	VBD	be	 	NP	*t*	-NONE-	WHNP	which	NO	,	,	the	DT	reduce_binary	VP	reduce_binary	1	-9.294198074178478
VP	be	VBD	NP	*t*	-NONE-	WHNP	which	WDT	,	,	NO	,	,	the	DT	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
